Key,Key Description,Type,Source,Module
NEBNext Ultra II Directional RNA Library,,,,Assay
 QIAseq miRNA Library,,,,Assay
 SMART-Seq v4 Ultra Low Input RNA,,,,Assay
 Nextera XT,,,,Assay
 SMARTer Stranded Total RNA v2,,,,Assay
 Nextera XT DNA,,,,Assay
 TruSeq Stranded mRNA,,,,Assay
 Chromium Single Cell Human TCR Amplification Kit,,,,Assay
 Chromium Single Cell Human BCR Amplification Kit,,,,Assay
 SMART-Seq Human BCR with UMI,,,,Assay
 SMART-Seq Human TCR with UMI,,,,Assay
 Takara Human BCR profiling for Illumina,,,,Assay
 Takara Human TCR profiling for Illumina,,,,Assay
 Takara Human TCRv2 profiling for Illumina,,,,Assay
 Takara Human scTCR profiling for Illumina,,,,Assay
 NEBNext Human Immune Sequencing Kit,,,,Assay
 10x Chromium 3 GEX,,,,Assay
 10x Chromium 3 GEX v3.1,,,,Assay
 10x Chromium 5 GEX,,,,Assay
 10x Universal 3 GEX,,,,Assay
 10x Universal 5 GEX,,,,Assay
 10x Chromium Flex,,,,Assay
 CEL-Seq2,,,,Assay
 Chromium scATAC Kit v2,,,,Assay
 in-house library prep,,,,Assay
 Chromium Next GEM Chip G,,,,Assay
 Fluidigm C1 HT,,,,Assay
