Key,Key Description,Type,Valid Values,DependsOn,Required,Source,Module
Filename,Name of a file,STRING,,,True,,Other
individualID,"Identifying string linked to the individual or animal being studied, formatted as [site prefix] + [localID]",STRING,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.09d&code=C69256&ns=ncit,Clinical
site,Site at which the participant was recruited,STRING,"BCH,TOR,MUN",,True,Sage Bionetworks,Clinical
specimenID,Identifying string linked to a particular sample or specimen. For RC2 Samples: formatted as [IndividualID] + [Sample Type Abbreviation] + [Sample letter key] + [Subcategory of analysis type],STRING,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C166393,Biospecimen
sampleType,The type of sample being described,STRING,"Biopsy,Blood,Serum,PBMC,PAX",,True,Sage Bionetworks,Biospecimen
assay,The technology used to generate the data in this file,STRING,"rnaSeq,scrnaSeq",,True,,NGS
referenceSet,"A set of references (e.g., canonical assembled contigs) which defines a common coordinate space for comparing reference-aligned experimental data.",STRING,"GRCh37,GRCm38,MMUL1.0,HRC,1000 Genomes phase 3,GRCh38,dmel_r6.06",,False,,NGS
nucleicAcidSource,,STRING,"bulk cell,bulk nuclei,single cell,single nucleus",,True,,NGS
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",STRING,"fastq,count matrix,bam,csv,xlsx,txt,pdf,tsv",,False,,File_Annotations
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.",STRING,"raw,aligned,processed,normalized,aggregated",,False,,NGS
cellViability,A cell phenotype that consists of the cell's disposition to survive and develop normally. Provided as number of live cells per unit volume,NUM,,,False,,Experimental_Data
dataType,Types of input/output data in bioinformatics pipelines,STRING,"genomicVariants,geneExpression",,True,Sage Bionetworks,NGS
biopsyLocation,Biopsy actual location,STRING,"Sigmoid,Descending Colon/Transverse,Sigmoid/Descending Colon,Unspecified,Ascending,Ileum,Rectum,Cecum,Transverse Colon,Most Severe Area",,True,Sage Bionetworks,Biospecimen
biopsyInflammationStatus,Biopsy inflammation status,STRING,"Inflamed,Uninflamed",,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C3137,Biospecimen
biopsiesNumber,The number of biopsies,NUM,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C182265,Biospecimen
preservationMethod,The method of preservation for biopsy samples,STRING,"Cryopreserved,Snap Frozen,Formalin,PAXGene Tube",,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C19232,Biospecimen
volume,"The volume of serum, PBMC, PAX collected",NUM,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C25335,Biospecimen
volumeUnit,The units the volume is reported in,STRING,"ml,ul",,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C25335,Biospecimen
cellNumber,The number of cells for PBMC samples as # x 10^6,NUM,,,True,Sage Bionetworks,Biospecimen
resourceType,The type of resource being stored and annotated,STRING,"analysis,curatedData,experimentalData,metadata,report,tool",,True,,File_Annotations
