Key,Key Description,Type,Valid Values,DependsOn,Required,Source,Module
localID,local identifier (max of 5 digits),NUM,,,True,https://docs.google.com/spreadsheets/d/1d8-G1ernDQDLTwMJSrX5EQGnq_afsA0G/edit#gid=110285588,Clinical
individualID,"Identifying string linked to the individual or animal being studied, formatted as [site prefix] + [localID]",STRING,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.09d&code=C69256&ns=ncit,Clinical
specimenID,Identifying string linked to a particular sample or specimen. For RC2 Samples: formatted as [IndividualID] + [Sample Type Abbreviation] + [Sample letter key] + [Subcategory of analysis type],STRING,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C166393,Biospecimen
sampleKey,"Key indicating additional information about samples. Should match key found in RC2 Sample ID. For biopsy: suggested location, inflammation status, and preservation method. For blood: blood component, preservation method.",STRING,"A,B,C,D,E,F,G,H,I,J",,True,Sage Bionetworks,Biospecimen
fundingSource,Funding source used to support sampling. May be necessary information to determine scope of sharing permissions.,STRING,"RC2,Helmsley,Internal",,True,,Biospecimen
sampleType,The type of sample being described,STRING,"Biopsy,Blood,Serum,PBMC,PAX",,True,Sage Bionetworks,Biospecimen
collectionDate,The date sample was collected in format YYYY-MM-DD,STRING,,,True,Sage Bionetworks,Biospecimen
diagnosisCategory,The general diagnosis category,STRING,"CD,UC,IBDU,CTL",,True,Sage Bionetworks,Biospecimen
notes,Any additional notes about the biospecimen,STRING,,,False,Sage Bionetworks,Biospecimen
shippingTrackingNumber,"Tracking number issued by vendor. this can be used to identify shipping ""batches"" i.e. samples that were shipped at the same time under the same conditions",STRING,,,False,Sage Bionetworks,Biospecimen
shippingVendor,The vendor used to ship biosamples,STRING,"Federal Express,DHL,World Courier",,False,Sage Bionetworks,Biospecimen
specimenIDSource,Sample originator. Should match prefix on RC2 Sample ID,STRING,"BCH,TOR,MUN,NET",,False,Sage Bionetworks,Biospecimen
uniqueID,"The unique ID, if there is one that is separate from the specimen ID (for example, if sites use their own internal unique ID). Some sites may collect this but not all",STRING,,,False,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C70663,Biospecimen
cellViability,A cell phenotype that consists of the cell's disposition to survive and develop normally. Provided as number of live cells per unit volume,NUM,,,False,,Experimental_Data
biopsyLocation,Biopsy actual location,STRING,"Sigmoid,Descending Colon/Transverse,Sigmoid/Descending Colon,Unspecified,Ascending,Ileum,Rectum,Cecum,Transverse Colon,Most Severe Area",,True,Sage Bionetworks,Biospecimen
biopsyInflammationStatus,Biopsy inflammation status,STRING,"Inflamed,Uninflamed",,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C3137,Biospecimen
biopsiesNumber,The number of biopsies,NUM,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C182265,Biospecimen
preservationMethod,The method of preservation for biopsy samples,STRING,"Cryopreserved,Snap Frozen,Formalin,PAXGene Tube",,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C19232,Biospecimen
volume,"The volume of serum, PBMC, PAX collected",NUM,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C25335,Biospecimen
volumeUnit,The units the volume is reported in,STRING,"ml,ul",,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C25335,Biospecimen
cellNumber,The number of cells for PBMC samples as # x 10^6,NUM,,,True,Sage Bionetworks,Biospecimen
