Key,Key Description,Type,Valid Values,DependsOn,Required,Source,Module
mesalamine,,,,,False,,
mesalamine_use,,,,,False,,
mesalamine_change,,,,,False,,
sulfasa,,,,,False,,
sulfasa_use,,,,,False,,
sulfasa_change,,,,,False,,
balsalazide,,,,,False,,
balsalazide_use,,,,,False,,
balsalazide_change,,,,,False,,
olsalazine,,,,,False,,
olsalazine_use,,,,,False,,
olsalazine_change,,,,,False,,
mercap6,,,,,False,,
mercap6_use,,,,,False,,
mercap6_change,,,,,False,,
azathioprine,,,,,False,,
azathioprine_use,,,,,False,,
azathioprine_change,,,,,False,,
methotrex,,,,,False,,
methotrex_use,,,,,False,,
methotrex_change,,,,,False,,
fk506,,,,,False,,
fk506_use,,,,,False,,
fk506_change,,,,,False,,
cyclospa,,,,,False,,
cyclospa_use,,,,,False,,
cyclospa_change,,,,,False,,
thalidomide,,,,,False,,
thalidomide_use,,,,,False,,
thalidomide_change,,,,,False,,
lenalidomide,,,,,False,,
lenalidomide_use,,,,,False,,
lenalidomide_change,,,,,False,,
infliximab,,,,,False,,
infliximab_use,,,,,False,,
infliximab_change,,,,,False,,
adalimumab,,,,,False,,
adalimumab_use,,,,,False,,
adalimumab_change,,,,,False,,
certolizumab,,,,,False,,
certolizumab_use,,,,,False,,
certolizumab_change,,,,,False,,
golimumab,,,,,False,,
golimumab_use,,,,,False,,
golimumab_change,,,,,False,,
natalizumab,,,,,False,,
natalizumab_use,,,,,False,,
natalizumab_change,,,,,False,,
tocilizumab,,,,,False,,
tocilizumab_use,,,,,False,,
tocilizumab_change,,,,,False,,
vedolizumab,,,,,False,,
vedolizumab_use,,,,,False,,
vedolizumab_change,,,,,False,,
ustekinumab,,,,,False,,
ustekinumab_use,,,,,False,,
ustekinumab_change,,,,,False,,
oralenteric,,,,,False,,
oralenteric_use,,,,,False,,
oralenteric_change,,,,,False,,
rectalstrd,,,,,False,,
rectalstrd_use,,,,,False,,
rectalstrd_change,,,,,False,,
oralsterd,,,,,False,,
oralsterd_use,,,,,False,,
oralsterd_change,,,,,False,,
intrasterd,,,,,False,,
intrasterd_use,,,,,False,,
intrasterd_change,,,,,False,,
metronida,,,,,False,,
metronida_use,,,,,False,,
metronida_change,,,,,False,,
ciproflox,,,,,False,,
ciproflox_use,,,,,False,,
ciproflox_change,,,,,False,,
trimethop,,,,,False,,
trimethop_use,,,,,False,,
trimethop_change,,,,,False,,
amoxicillin,,,,,False,,
amoxicillin_use,,,,,False,,
amoxicillin_change,,,,,False,,
vancomycin,,,,,False,,
vancomycin_use,,,,,False,,
vancomycin_change,,,,,False,,
ursodiol,,,,,False,,
ursodiol_use,,,,,False,,
ursodiol_change,,,,,False,,
cholestyr,,,,,False,,
cholestyr_use,,,,,False,,
cholestyr_change,,,,,False,,
rifampin,,,,,False,,
rifampin_use,,,,,False,,
rifampin_change,,,,,False,,
omega3,,,,,False,,
omega3_use,,,,,False,,
omega3_change,,,,,False,,
probiotic,,,,,False,,
probiotic_use,,,,,False,,
probiotic_change,,,,,False,,
individual_id,"A unique identifier for every enrolled individual. Consists of 'site' combined with 'local_id' and 'participant_id', e.g., BCH00001_0",STRING,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.09d&code=C69256&ns=ncit,Clinical
Component,Category of metadata; provide the same one for all items/rows.,,,,True,https://w3id.org/biolink/vocab/category,
