Key,Key Description,Type,Source,Module
HiSeqX,,STRING,,NGS
HiSeq4000,,STRING,,NGS
Illumina_1M,,STRING,,NGS
HiSeq3000,,STRING,,NGS
HiSeq2500,,STRING,,NGS
DNBSEQ,,STRING,,NGS
HiSeq1000,,STRING,,NGS
GAIIx,,STRING,,NGS
Illumina_h650,,STRING,,NGS
ddSEQ Single-Cell Isolator,,STRING,,NGS
confocalImaging,,STRING,,NGS
Bruker Avance III,,STRING,,NGS
Bionano Irys,,STRING,,NGS
Biograph mCT,,STRING,,NGS
HiSeq2000,,STRING,,NGS
Illumina_HumanOmni1-Quadv1.0,,STRING,,NGS
Illumina_Omni5M,,STRING,,NGS
Illumina MouseWG-6 v2.0 expression beadchip,,STRING,,NGS
IlluminaNovaseq6000,,STRING,,NGS
IlluminaWholeGenomeDASL,,STRING,,NGS
Infinium Global Diversity Array-8,,STRING,,NGS
Illumina_Infinium-HumanMethylation450-BeadChip,,STRING,,NGS
IlluminaInfiniumGSAMD-24v2-0,,STRING,,NGS
IlluminaMethylationEPIC,,STRING,,NGS
PacBioRSII,,STRING,,NGS
IlluminaHumanMethylation450,,STRING,,NGS
IlluminaHumanHT-12_V3_0_R1,,STRING,,NGS
IlluminaHumanHap650Yv3_A,,STRING,,NGS
IlluminaHumanHap300,,STRING,,NGS
Illumina_Omni5-Quad,,STRING,,NGS
Biocrates p180,,STRING,,NGS
Illumina_Omni2pt5M,,STRING,,NGS
Illumina_Omni2.5-8_v1.3,,STRING,,NGS
Illumina_Omni2.5-8_v1.1,,STRING,,NGS
Illumina_Omni2.5-8,,STRING,,NGS
llumina Infinium General Screening Array 24-Kit v3.0,,STRING,,NGS
BGISEQ-500,,STRING,,NGS
Perlegen300Karray,,STRING,,NGS
AffymetrixU133Plus2,,STRING,,NGS
orbitrap,,STRING,,NGS
Xevo TQ-S,,STRING,,NGS
Agilent44Karray,,STRING,,NGS
NextSeq2000,,STRING,,NGS
NextSeq500,,STRING,,NGS
NanostringnCounter_MouseADPanel,,STRING,,NGS
NanostringnCounter,,STRING,,NGS
MiSeq,,STRING,,NGS
LTQOrbitrapXL,,STRING,,NGS
InfiniumPsychArrayBeadChip,,STRING,,NGS
Infinium Omni2.5Exome-8 v1.5,,STRING,,NGS
Infinium Omni2.5Exome-8 v1.4,,STRING,,NGS
Infinium Omni2.5Exome-8 v1.3,,STRING,,NGS
Infinium Omni2.5Exome-8 v1.1,,STRING,,NGS
Infinium HumanOmniExpressExome,,STRING,,NGS
OrbiTrap Fusion,,STRING,,NGS
Orbitrap Fusion Lumos,,STRING,,NGS
Olink Target 96,,STRING,,NGS
triple quadrupole,,STRING,,NGS
AffymetrixU133AB,,STRING,,NGS
Affymetrix Human Gene 1.0 ST Array,,STRING,,NGS
PacBio Sequel II,,STRING,,NGS
Xevo G2 QTOF,,STRING,,NGS
PsychChip,,STRING,,NGS
Affy6.0,,STRING,,NGS
Affy5.0,,STRING,,NGS
Illumina NovaSeq 6000,,STRING,,NGS
Q Exactive HF,,STRING,,NGS
Q Exactive,,STRING,,NGS
time-of-flight,,STRING,,NGS
Simoa HD-1 Analyzer,,STRING,,NGS
Signa Premier AIR 3T,,STRING,,NGS
IlluminaMiSeq,,STRING,,NGS
SequenomMultiplex,,STRING,,NGS
quadrupole time-of-flight,,STRING,,NGS
Q Exactive Plus,,STRING,,NGS
