"Attribute","Description","Required","Valid Values"
"adalimumab","",FALSE,""
"adalimumab_change","",FALSE,""
"adalimumab_use","",FALSE,""
"amoxicillin","",FALSE,""
"amoxicillin_change","",FALSE,""
"amoxicillin_use","",FALSE,""
"azathioprine","",FALSE,""
"azathioprine_change","",FALSE,""
"azathioprine_use","",FALSE,""
"balsalazide","",FALSE,""
"balsalazide_change","",FALSE,""
"balsalazide_use","",FALSE,""
"certolizumab","",FALSE,""
"certolizumab_change","",FALSE,""
"certolizumab_use","",FALSE,""
"cholestyr","",FALSE,""
"cholestyr_change","",FALSE,""
"cholestyr_use","",FALSE,""
"ciproflox","",FALSE,""
"ciproflox_change","",FALSE,""
"ciproflox_use","",FALSE,""
"cyclospa","",FALSE,""
"cyclospa_change","",FALSE,""
"cyclospa_use","",FALSE,""
"fk506","",FALSE,""
"fk506_change","",FALSE,""
"fk506_use","",FALSE,""
"golimumab","",FALSE,""
"golimumab_change","",FALSE,""
"golimumab_use","",FALSE,""
"individual_id","A unique identifier for every enrolled individual, formatted as `'site''local_id'_'participant_id'`, e.g., BCH00001_0",TRUE,""
"infliximab","",FALSE,""
"infliximab_change","",FALSE,""
"infliximab_use","",FALSE,""
"intrasterd","",FALSE,""
"intrasterd_change","",FALSE,""
"intrasterd_use","",FALSE,""
"lenalidomide","",FALSE,""
"lenalidomide_change","",FALSE,""
"lenalidomide_use","",FALSE,""
"mercap6","",FALSE,""
"mercap6_change","",FALSE,""
"mercap6_use","",FALSE,""
"mesalamine","",FALSE,""
"mesalamine_change","",FALSE,""
"mesalamine_use","",FALSE,""
"methotrex","",FALSE,""
"methotrex_change","",FALSE,""
"methotrex_use","",FALSE,""
"metronida","",FALSE,""
"metronida_change","",FALSE,""
"metronida_use","",FALSE,""
"natalizumab","",FALSE,""
"natalizumab_change","",FALSE,""
"natalizumab_use","",FALSE,""
"olsalazine","",FALSE,""
"olsalazine_change","",FALSE,""
"olsalazine_use","",FALSE,""
"omega3","",FALSE,""
"omega3_change","",FALSE,""
"omega3_use","",FALSE,""
"oralenteric","",FALSE,""
"oralenteric_change","",FALSE,""
"oralenteric_use","",FALSE,""
"oralsterd","",FALSE,""
"oralsterd_change","",FALSE,""
"oralsterd_use","",FALSE,""
"probiotic","",FALSE,""
"probiotic_change","",FALSE,""
"probiotic_use","",FALSE,""
"rectalstrd","",FALSE,""
"rectalstrd_change","",FALSE,""
"rectalstrd_use","",FALSE,""
"rifampin","",FALSE,""
"rifampin_change","",FALSE,""
"rifampin_use","",FALSE,""
"sulfasa","",FALSE,""
"sulfasa_change","",FALSE,""
"sulfasa_use","",FALSE,""
"thalidomide","",FALSE,""
"thalidomide_change","",FALSE,""
"thalidomide_use","",FALSE,""
"tocilizumab","",FALSE,""
"tocilizumab_change","",FALSE,""
"tocilizumab_use","",FALSE,""
"trimethop","",FALSE,""
"trimethop_change","",FALSE,""
"trimethop_use","",FALSE,""
"ursodiol","",FALSE,""
"ursodiol_change","",FALSE,""
"ursodiol_use","",FALSE,""
"ustekinumab","",FALSE,""
"ustekinumab_change","",FALSE,""
"ustekinumab_use","",FALSE,""
"vancomycin","",FALSE,""
"vancomycin_change","",FALSE,""
"vancomycin_use","",FALSE,""
"vedolizumab","",FALSE,""
"vedolizumab_change","",FALSE,""
"vedolizumab_use","",FALSE,""
