"Attribute","Description","Required","Valid Values"
"Component","Category of metadata; provide the same one for all items/rows.",TRUE,""
"data_generator","Institution that generated the data, i.e. the data processors",TRUE,"BCH, LMU, HSC, MSSM, CSMC, OXF"
"sample_id","Unique sample identifier, formatted as `'individual_id'_'participant_id'_'collection_num'_'type_key'_'sample_num'`",TRUE,""
"assay","The technology used to generate the data.",TRUE,"scRNASeq, RNASeq, WES, WGS, LC-MS/MS, CyTOF"
"library_prep_method","Sequencing library preparation method or kit used to create the library. If no commercially available kit was used, please select 'in-house library prep'.",TRUE,"NEBNext Ultra II Directional RNA Library, QIAseq miRNA Library, SMART-Seq v4 Ultra Low Input RNA, Nextera XT, SMARTer Stranded Total RNA v2, Nextera XT DNA, TruSeq Stranded mRNA, Chromium Single Cell Human TCR Amplification Kit, Chromium Single Cell Human BCR Amplification Kit, SMART-Seq Human BCR with UMI, SMART-Seq Human TCR with UMI, Takara Human BCR profiling for Illumina, Takara Human TCR profiling for Illumina, Takara Human TCRv2 profiling for Illumina, Takara Human scTCR profiling for Illumina, NEBNext Human Immune Sequencing Kit, 10x Chromium 3 GEX, 10x Chromium 3 GEX v3.1, 10x Chromium 5 GEX, 10x Universal 3 GEX, 10x Universal 5 GEX, 10x Chromium Flex, CEL-Seq2, Chromium scATAC Kit v2, in-house library prep, Chromium Next GEM Chip G, Fluidigm C1 HT"
"library_date","Date of library generation YYYY-MM-DD",TRUE,""
"digestion_cdna_date","Date of cDNA digestion YYYY-MM-DD",TRUE,""
"platform","The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment.",FALSE,"HiSeqX, HiSeq4000, Illumina_1M, HiSeq3000, HiSeq2500, DNBSEQ, HiSeq1000, GAIIx, Illumina_h650, ddSEQ Single-Cell Isolator, confocalImaging, Bruker Avance III, Bionano Irys, Biograph mCT, HiSeq2000, Illumina_HumanOmni1-Quadv1.0, Illumina_Omni5M, Illumina MouseWG-6 v2.0 expression beadchip, IlluminaNovaseq6000, IlluminaWholeGenomeDASL, Infinium Global Diversity Array-8, Illumina_Infinium-HumanMethylation450-BeadChip, IlluminaInfiniumGSAMD-24v2-0, IlluminaMethylationEPIC, PacBioRSII, IlluminaHumanMethylation450, IlluminaHumanHT-12_V3_0_R1, IlluminaHumanHap650Yv3_A, IlluminaHumanHap300, Illumina_Omni5-Quad, Biocrates p180, Illumina_Omni2pt5M, Illumina_Omni2.5-8_v1.3, Illumina_Omni2.5-8_v1.1, Illumina_Omni2.5-8, llumina Infinium General Screening Array 24-Kit v3.0, BGISEQ-500, Perlegen300Karray, orbitrap, Xevo TQ-S, Agilent44Karray, NextSeq2000, NextSeq500, NanostringnCounter_MouseADPanel, NanostringnCounter, MiSeq, LTQOrbitrapXL, InfiniumPsychArrayBeadChip, Infinium Omni2.5Exome-8 v1.5, Infinium Omni2.5Exome-8 v1.4, Infinium Omni2.5Exome-8 v1.3, Infinium Omni2.5Exome-8 v1.1, Infinium HumanOmniExpressExome, OrbiTrap Fusion, Orbitrap Fusion Lumos, Olink Target 96, triple quadrupole, PacBio Sequel II, Xevo G2 QTOF, PsychChip, Illumina NovaSeq 6000, Q Exactive HF, Q Exactive, time-of-flight, Simoa HD-1 Analyzer, Signa Premier AIR 3T, IlluminaMiSeq, SequenomMultiplex, quadrupole time-of-flight, Q Exactive Plus"
"i7_index","Illumina-compatible library multiplex barcode",TRUE,""
"i5_index","Illumina-compatible library multiplex barcode",TRUE,""
"gex_con_ng_uL","Library concentration ng/uL",TRUE,""
"fragment_size_bp","Average fragment size of library in base pairs",TRUE,""
"total_reads","Total number of reads in fastq",TRUE,""
"percent_cell_viability","Percent of viable cells in input cell sample",TRUE,""
"cell_count_1mL","Number of cells in 1 mL of suspension",TRUE,""
