"Attribute","Description","Required","Valid Values"
"Component","Category of metadata; provide the same one for all items/rows.",TRUE,""
"Filename","Name of a file",TRUE,""
"file_format","Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",TRUE,"fastq, bam, csv, xlsx, txt, pdf, tsv, .h5, tar.gz, .h5ad"
"assay","The technology used to generate the data.",TRUE,"scRNASeq, RNASeq, WES, WGS, LC-MS/MS, CyTOF"
"resource_type","The type of resource being stored and annotated",TRUE,"experimental data, metadata, report"
"specimen_modality","Label assigned to experimental data files indicating whether the data contained corresponds to a single or multiple biospecimens",TRUE,"single specimen, multispecimen"
"data_level","The processing level of the data.",TRUE,"1, 2, 3, 4"
"data_type","High-level classification of the type of data contained in the file, loosely related to the experimental method or biological entity that is being profiled.",TRUE,"transcriptomics, proteomics, genomics, metabolomics, lipidomics, microbiome, cytometry, functional study"
"cellranger_output_class","This attribute labels files according to the Cell Ranger output folder from which they were derived.",TRUE,"raw_feature_bc_matrix, filtered_feature_bc_matrix, molecule_info"
"biospecimen_metadata_synID","The synID biospecimen metadata file containing information about the samples profiled",FALSE,""
"assay_metadata_synID","The synID scRNA-seq assay metadata file corresponding to this data file.",FALSE,""
