Key,Key Description,Type,Source,Module
HiSeqX,,STRING,,Experimental_Data
HiSeq4000,,STRING,,Experimental_Data
Illumina_1M,,STRING,,Experimental_Data
HiSeq3000,,STRING,,Experimental_Data
HiSeq2500,,STRING,,Experimental_Data
DNBSEQ,,STRING,,Experimental_Data
HiSeq1000,,STRING,,Experimental_Data
GAIIx,,STRING,,Experimental_Data
Illumina_h650,,STRING,,Experimental_Data
ddSEQ Single-Cell Isolator,,STRING,,Experimental_Data
confocalImaging,,STRING,,Experimental_Data
Bruker Avance III,,STRING,,Experimental_Data
Bionano Irys,,STRING,,Experimental_Data
Biograph mCT,,STRING,,Experimental_Data
HiSeq2000,,STRING,,Experimental_Data
Illumina_HumanOmni1-Quadv1.0,,STRING,,Experimental_Data
Illumina_Omni5M,,STRING,,Experimental_Data
Illumina MouseWG-6 v2.0 expression beadchip,,STRING,,Experimental_Data
IlluminaNovaseq6000,,STRING,,Experimental_Data
IlluminaWholeGenomeDASL,,STRING,,Experimental_Data
Infinium Global Diversity Array-8,,STRING,,Experimental_Data
Illumina_Infinium-HumanMethylation450-BeadChip,,STRING,,Experimental_Data
IlluminaInfiniumGSAMD-24v2-0,,STRING,,Experimental_Data
IlluminaMethylationEPIC,,STRING,,Experimental_Data
PacBioRSII,,STRING,,Experimental_Data
IlluminaHumanMethylation450,,STRING,,Experimental_Data
IlluminaHumanHT-12_V3_0_R1,,STRING,,Experimental_Data
IlluminaHumanHap650Yv3_A,,STRING,,Experimental_Data
IlluminaHumanHap300,,STRING,,Experimental_Data
Illumina_Omni5-Quad,,STRING,,Experimental_Data
Biocrates p180,,STRING,,Experimental_Data
Illumina_Omni2pt5M,,STRING,,Experimental_Data
Illumina_Omni2.5-8_v1.3,,STRING,,Experimental_Data
Illumina_Omni2.5-8_v1.1,,STRING,,Experimental_Data
Illumina_Omni2.5-8,,STRING,,Experimental_Data
llumina Infinium General Screening Array 24-Kit v3.0,,STRING,,Experimental_Data
BGISEQ-500,,STRING,,Experimental_Data
Perlegen300Karray,,STRING,,Experimental_Data
AffymetrixU133Plus2,,STRING,,Experimental_Data
orbitrap,,STRING,,Experimental_Data
Xevo TQ-S,,STRING,,Experimental_Data
Agilent44Karray,,STRING,,Experimental_Data
NextSeq2000,,STRING,,Experimental_Data
NextSeq500,,STRING,,Experimental_Data
NanostringnCounter_MouseADPanel,,STRING,,Experimental_Data
NanostringnCounter,,STRING,,Experimental_Data
MiSeq,,STRING,,Experimental_Data
LTQOrbitrapXL,,STRING,,Experimental_Data
InfiniumPsychArrayBeadChip,,STRING,,Experimental_Data
Infinium Omni2.5Exome-8 v1.5,,STRING,,Experimental_Data
Infinium Omni2.5Exome-8 v1.4,,STRING,,Experimental_Data
Infinium Omni2.5Exome-8 v1.3,,STRING,,Experimental_Data
Infinium Omni2.5Exome-8 v1.1,,STRING,,Experimental_Data
Infinium HumanOmniExpressExome,,STRING,,Experimental_Data
OrbiTrap Fusion,,STRING,,Experimental_Data
Orbitrap Fusion Lumos,,STRING,,Experimental_Data
Olink Target 96,,STRING,,Experimental_Data
triple quadrupole,,STRING,,Experimental_Data
AffymetrixU133AB,,STRING,,Experimental_Data
Affymetrix Human Gene 1.0 ST Array,,STRING,,Experimental_Data
PacBio Sequel II,,STRING,,Experimental_Data
Xevo G2 QTOF,,STRING,,Experimental_Data
PsychChip,,STRING,,Experimental_Data
Affy6.0,,STRING,,Experimental_Data
Affy5.0,,STRING,,Experimental_Data
Illumina NovaSeq 6000,,STRING,,Experimental_Data
Q Exactive HF,,STRING,,Experimental_Data
Q Exactive,,STRING,,Experimental_Data
time-of-flight,,STRING,,Experimental_Data
Simoa HD-1 Analyzer,,STRING,,Experimental_Data
Signa Premier AIR 3T,,STRING,,Experimental_Data
IlluminaMiSeq,,STRING,,Experimental_Data
SequenomMultiplex,,STRING,,Experimental_Data
quadrupole time-of-flight,,STRING,,Experimental_Data
Q Exactive Plus,,STRING,,Experimental_Data
